Date,Open,High,Low,Close,Volume,returns,log_returns,vol_4,vol_13,vol_26,mom_4,mom_13,mom_26,mom_52,sma_4,sma_13,sma_26,sma_52,trend_13_52,price_vs_sma_52,sma13_slope,high_13,low_13,breakout_13,breakdown_13,high_26,breakout_26,range_position_13,tr,atr_4,atr_13,atr_pct,cummax,drawdown,vol_rel_4,umap_1,umap_2,cluster,cluster_prob,fwd_ret_1,fwd_dd_1,fwd_ret_4,fwd_dd_4,fwd_ret_12,fwd_dd_12,fwd_ret_24,fwd_dd_24,meta_state,pred_prob_bull,feat_rsi,feat_bb,feat_sma,feat_mom,feat_bull,feat_conf,rsi14,mom63,trade_score,signature,signal
2001-01-05,49.401055997435805,55.04236912082981,43.99698949361348,47.76665496826172,307937200,-0.029978556367331932,-0.03043710089125895,0.014484596704018518,0.05983192462889515,0.05602099379145795,-0.16727940479666792,-0.3177706801414002,-0.40977174542415196,-0.37083350751920197,50.481865882873535,59.48627677330604,69.08938085115872,75.19125857720009,-0.20886712233669413,-0.3647312749896463,-0.08866237788153053,74.12796315518435,43.99698949361348,-0.35561894681681905,0.08568007761520668,87.32173866824894,-0.452980944988557,0.1251093149855983,11.045379627216327,8.755235782355262,9.021643404748867,0.18886906380074647,99.17115020751953,-0.5183412225399411,1.1817773449680269,5.776547,8.274128,4,0.8771997900675685,0.10789177735813427,0.10789177735813427,0.0869751988181835,0.0869751988181835,-0.30860945705477716,-0.30860945705477716,-0.2362030778145724,-0.36512152222909555,bull,,0,0,0,0,0,0,,,0,000000,0
2001-01-12,47.50303805655267,54.515142153387195,45.143702925552965,52.920284271240234,309399300,0.10789177735813427,0.10245890969018977,0.0742509341667362,0.0706594990572819,0.059921620859869,-0.01785710493037651,-0.22788467639329046,-0.3765528054985561,-0.3281457718577151,50.24131965637207,58.28480999286358,67.8600323016827,74.69419655433067,-0.2196875703660769,-0.2915074167409063,-0.07731564831207083,74.12796315518435,43.99698949361348,-0.28609552969297924,0.20281603083142863,87.32173866824894,-0.3939620868946053,0.29615022992129686,9.37143922783423,8.521282941259699,9.132160450994602,0.17256446326305008,99.17115020751953,-0.46637420095962934,1.1084122013030142,5.917506,7.5393834,3,1.0,0.05703619365611745,0.05703619365611745,-0.10097129369226765,-0.10097129369226765,-0.4269490118567103,-0.4269490118567103,-0.2715318212306369,-0.4269490118567103,stress,,0,0,0,0,0,0,,,0,000000,0
2001-01-19,52.7752774745594,57.62577836722501,51.08815571713093,55.938655853271484,204819300,0.05703619365611745,0.05546894817141408,0.0696057740635797,0.07017763546726821,0.0614531777732625,0.09607442850311076,-0.23171633114992563,-0.3163658949729059,-0.3110388394317398,51.46712017059326,56.987022106464096,66.86438707204965,74.20854076972374,-0.23206922659616336,-0.24619652572263173,-0.06880496180680351,73.8116114272684,43.99698949361348,-0.2421428719464871,0.2714200788986125,87.32173866824894,-0.3593959911197767,0.400530531167936,6.537622650094079,7.684318308459746,8.771213763681553,0.15680058145638445,99.17115020751953,-0.4359382165456622,0.8416810666315999,5.8521123,7.349186,3,1.0,-0.011545635316134728,-0.011545635316134728,-0.16863344699731309,-0.16863344699731309,-0.35457133304096167,-0.45787004117503405,-0.37191321075590444,-0.45787004117503405,stress,,0,0,0,0,0,0,,,0,000000,0
2001-01-26,55.56958679515314,58.31118053386553,53.14436329056168,55.292808532714844,242375300,-0.011545635316134728,-0.01161280366491244,0.06355746836975588,0.06793215411647541,0.05853948778198741,0.12285882256244163,-0.17777383972774208,-0.2455032399575786,-0.23782726042477753,52.97960090637207,56.067415971022385,66.1724045093243,73.87674294985257,-0.2410681124764682,-0.25155324497389486,-0.05747310115427895,70.96460954667583,43.99698949361348,-0.22083967084541078,0.256740726334038,87.32173866824894,-0.36679217138836173,0.41886599621603043,5.1668172433038535,8.030314687112122,8.268322267205486,0.14953702817091313,99.17115020751953,-0.44245066819319456,0.9107307433291522,5.830118,7.3217096,3,1.0,-0.06097789823271682,-0.06097789823271682,-0.2191847242139494,-0.2191847242139494,-0.2615973945747536,-0.4515376954217265,-0.3416927233568072,-0.4515376954217265,stress,0.8238707,0,0,0,0,1,0,,,3,000010,0
2001-02-02,54.6205877617224,57.35371011417123,50.61365061698623,51.92116928100586,225889200,-0.06097789823271682,-0.06291626249253608,0.07441040196142795,0.06701400994319387,0.05859247815702717,0.0869751988181835,-0.2589920047839763,-0.3170597491929399,-0.36648451443857866,54.018229484558105,54.67148296649639,65.24529823890099,73.29912655170148,-0.25413186297746804,-0.2916536427704455,-0.061994317675730715,70.96460954667583,43.99698949361348,-0.26835123010356954,0.18010731821873027,87.32173866824894,-0.40540385392160183,0.2938405306734709,6.740059497185001,6.953984654604291,8.25246431365812,0.15894218924451475,99.17115020751953,-0.47644885460782926,0.9196665062228552,5.791644,7.5763793,3,0.9905590620142799,-0.08367135477406473,-0.08367135477406473,-0.2412669682061107,-0.2412669682061107,-0.26644994207918216,-0.41592183661487625,-0.323313953902714,-0.41592183661487625,stress,0.82645726,0,0,0,0,1,0,,,3,000010,0
2001-02-09,51.61748895744771,53.24556520811846,47.23942892630749,47.57685470581055,244060900,-0.08367135477406473,-0.08738019565748993,0.062309756010415246,0.06076256263781795,0.05998484500270812,-0.10097129369226765,-0.21393728710516724,-0.38064502768974495,-0.4352940073819357,52.682372093200684,53.675431765042816,64.12068572411171,72.59386099301852,-0.2606064613341771,-0.3446160039567796,-0.05811130708382184,65.85050196485874,43.99698949361348,-0.2775020191767097,0.08136614012458088,87.32173866824894,-0.4551545190074191,0.1638118914251168,6.006136281810967,6.112658918098475,7.911467933645979,0.1662881664323168,99.17115020751953,-0.5202550882363055,1.064437923481431,5.68316,8.136519,4,0.8771997900675685,-0.02251782334282415,-0.02251782334282415,-0.2003548432178449,-0.2003548432178449,-0.14539054602927348,-0.362588775950456,-0.25620560701354167,-0.362588775950456,bull,0.76102823,0,0,0,0,1,0,,,3,000010,0
2001-02-16,47.45033976734892,51.02701224531811,45.653518277013035,46.50552749633789,307083600,-0.02251782334282415,-0.022775220887647385,0.03354099689349478,0.060018812714036716,0.05861916229888904,-0.16863344699731309,-0.24301185180594886,-0.4212072075391149,-0.43994917108777387,50.324090003967285,52.527014805720405,62.81900669978215,71.89131252582257,-0.2693551840933036,-0.3531133893315188,-0.06314543133451667,63.08254574527259,43.99698949361348,-0.26278296243580157,0.057016128412343825,87.32173866824894,-0.4674232532975461,0.13143646271804837,5.373493968305077,5.821626747651225,7.689101293816275,0.16533736327196286,99.17115020751953,-0.5310578994090192,1.2049475725641032,5.7620096,8.242577,4,0.8771997900675685,-0.07164864333907928,-0.07164864333907928,-0.25267528193619226,-0.25267528193619226,-0.1737707983950646,-0.34790501630486714,-0.21676019766806154,-0.34790501630486714,bull,0.88527423,0,0,0,0,1,0,,,3,000010,0
2001-02-23,47.020087020889235,47.10444182558144,40.684962952356805,43.17346954345703,324840800,-0.07164864333907928,-0.0743450007617915,0.026467232259469262,0.061677569357005774,0.058629120989304624,-0.2191847242139494,-0.2733985663226026,-0.4779214886623786,-0.5081800185522162,47.29425525665283,51.27740742610051,61.29893405620869,71.03343552809496,-0.27812294245828206,-0.39220918680779315,-0.062081278140485585,63.08254574527259,40.684962952356805,-0.3156035630237314,0.06116526624380447,87.32173866824894,-0.5055816546727174,0.11110603381215427,6.419478873224634,6.13479215513142,7.77228107961468,0.1800244724782045,99.17115020751953,-0.564656964720941,1.1792297580169067,5.8074403,8.291485,4,0.8771997900675685,-0.087534390924772,-0.087534390924772,-0.16373614489065147,-0.19499797926533613,-0.061352490875768884,-0.2975773891896085,-0.21297438888901654,-0.2975773891896085,bull,0.79451585,0,0,0,0,1,0,,,3,000010,0
2001-03-02,43.93265783636956,44.371306718718,38.50856762267355,39.39430618286133,444972400,-0.087534390924772,-0.09160488292040844,0.029989680940646253,0.06132679287611235,0.05814424393355536,-0.2412669682061107,-0.2703123043646244,-0.5449450738395946,-0.5795160374189476,44.1625394821167,50.154823303222656,59.48446728633,69.98932581681471,-0.28339325007224003,-0.43713836755665714,-0.065590687322855,63.08254574527259,38.50856762267355,-0.3755117882855332,0.023001077808624038,85.83236978042065,-0.5410320572105698,0.03604375961306895,5.86273909604445,5.915462054846282,7.416198436857413,0.1882555921262516,99.17115020751953,-0.6027644521574349,1.3474236154571793,5.7755237,8.301031,4,0.8771997900675685,-0.03426141676836625,-0.03426141676836625,-0.1616703855657331,-0.1616703855657331,0.04903688696628761,-0.2301927833507198,-0.19143494115075843,-0.2301927833507198,bull,0.75106955,0,0,0,0,1,0,,,3,000010,0
2001-03-09,40.06914309382944,42.734818111774544,37.918069215774366,38.04460144042969,288888600,-0.03426141676836625,-0.03486209916585184,0.030641849082942846,0.05580906922235928,0.05743948152670861,-0.2003548432178449,-0.33676487966766566,-0.5258870989977856,-0.6061136102433264,41.779476165771484,48.66885698758639,57.861422758836014,68.86349597344032,-0.29325608147519433,-0.4475360145075563,-0.07345092486987947,63.08254574527259,37.918069215774366,-0.3969076391740143,0.003336990180994759,81.08728696264401,-0.5308191596303327,0.005028208097513886,4.816748896000178,5.618115208393585,7.024267604863348,0.18463244031776652,99.17115020751953,-0.6163743048172794,0.8460731825072958,5.8149343,8.26783,4,0.8771997900675685,-0.08647406179222561,-0.08647406179222561,-0.20288240522265555,-0.20288240522265555,0.021064629038487714,-0.20288240522265555,-0.12860331986920104,-0.20288240522265555,bull,0.81354517,0,0,0,0,1,0,,,3,000010,0
